traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
9001,01/08/2024 03AM,London,,1210,69.56417018849834,37,,,17123
9002,04/11/2024 05PM,London,Chelsea,15625,-19.71282632639115,10,Low,Dry,17123
9003,24/01/2024 02PM,,Islington,6846,130.37489694749635,13,Low,,17123
9004,2099-13-40 25:61,,Kensington,11205,131.72744387361186,54,Low,,17123
9005,2099-13-40 25:61,London,Kensington,18182,93.66666962353031,45,High,Damaged,17123
9006,2024-04-12T17:00Z,London,,546,47.718373097053075,37,,,17123
9007,21/06/2024 04PM,,Islington,13146,8.57777621946287,0,,Wet,17123
9008,2024-06-30T04:00Z,,Kensington,8233,58.79406176645401,16,Medium,,17123
9009,12/06/2024 02PM,,Chelsea,1748,106.62567557555795,48,High,Dry,17123
9010,2099-13-40 25:61,,Southwark,13399,76.84377949504416,16,Low,,17123
9011,Unknown,,Islington,11418,64.3994514321214,9,Low,Dry,17123
9012,Unknown,London,Chelsea,6913,115.91107413226888,29,High,Dry,17123
9013,2024-02-28T08:00Z,London,Southwark,1560,30.10142974549936,41,High,Dry,17123
9014,2024-10-06T11:00Z,,Islington,3777,117.59423523861022,45,High,Wet,17123
9015,2024-01-31T20:00Z,London,Southwark,18950,50.312544438124945,32,,Dry,17123
9016,2024-09-20 18:00,London,Chelsea,7856,-19.613786985441664,1,Low,Dry,17123
9017,30/01/2024 06AM,London,,12483,97.11072123201097,49,,Dry,17123
9018,Unknown,,,7019,120.45494154323112,19,Low,Damaged,17123
9019,2024-07-01 20:00,London,Camden,18151,57.49773424308343,31,Low,Wet,17123
9020,2024-10-23 23:00,,,1320,52.75965906481687,2,,Dry,17123
9021,2024-03-16T20:00Z,,Kensington,9947,108.87174808495772,35,,Snowy,17123
9022,2024-11-25T10:00Z,,Southwark,15197,121.56395951298148,4,Low,Dry,17123
9023,Unknown,London,Kensington,12055,135.90721692636475,19,High,Snowy,17123
9024,2024-07-01 23:00,London,,13135,35.30404657929465,2,Low,Damaged,17123
9025,2024-02-27T11:00Z,London,Chelsea,12768,75.15020267759753,2,Low,Wet,17123
9026,2024-12-18T22:00Z,London,Kensington,4692,111.66693517940803,35,High,Wet,17123
9027,2024-11-30 22:00,London,Chelsea,3810,65.0963077637664,5,Medium,Snowy,17123
9028,2024-06-30T03:00Z,,,826,53.89653331082927,38,Medium,,17123
9029,Unknown,,,8481,71.50913299067784,35,Medium,Snowy,17123
9030,2024-08-07 14:00,London,Camden,7676,37.09871988276825,23,,Dry,17123
9031,2024-01-26T04:00Z,,Camden,8845,10.73217505545939,46,Low,Dry,17123
9032,2099-13-40 25:61,London,Southwark,3130,-9.339021854418377,37,,Dry,17123
9033,2024-11-09 20:00,,Camden,1080,77.59692231155094,36,Medium,,17123
9034,01/10/2024 07AM,,Southwark,3108,40.661497837119086,7,Medium,Damaged,17123
9035,25/01/2024 03PM,London,Islington,8658,121.27248052044311,37,Medium,,17123
9036,Unknown,,Islington,14036,15.673468656375036,48,High,Snowy,17123
9037,13/09/2024 07PM,,Southwark,3534,29.713864001425954,15,Medium,,17123
9038,Unknown,London,Chelsea,15696,135.28099779630554,42,,Snowy,17123
9039,Unknown,London,Southwark,2027,69.0065927544039,0,Low,Damaged,17123
9040,2024-10-09 11:00,London,Camden,11607,35.4804868558908,13,Medium,Snowy,17123
